,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
1,960,20,0.0,0.15366909634314874,0.0,0.9259602262608367,5.403796460924681,0.07842063739699076,inf,inf,1.0,4.846649201005026,4.875,24.98438,vortex_grid_c20nh960Buinfefr1.00e+00
2,1920,20,1.1117729174899334e-12,0.0,7.539822368615504,1.0316567048080938,56.58842421045167,0.08129765001959142,0.051755691449491596,4.0,0.01,5.426502439130435,8.004515,99.95639,vortex_grid_c20nh1920Bu4.0efr1.00e-02
3,1920,20,1.1117729174899334e-12,0.0,3.371911070899549,1.0291166261802853,56.58842421045167,0.08123087324086563,0.11563418588383367,20.0,1.0,5.509104070815451,6.524734,99.9455,vortex_grid_c20nh1920Bu20.0efr1.00e+00
4,1920,20,1.1117729174899334e-12,0.0,0.0,1.0184604636067847,56.58842421045167,0.08094952696275645,inf,inf,0.01,3.623089140271493,5.714844,49.92926,vortex_grid_c20nh1920Buinfefr1.00e-02
5,1920,20,1.1117729174899334e-12,0.0,0.0,1.0235792995110953,56.58842421045167,0.08108491924718284,inf,inf,0.1,3.8464074994675186,5.714844,99.96415,vortex_grid_c20nh1920Buinfefr1.00e-01
6,1920,20,1.1117729174899334e-12,0.0,0.0,1.0033285922183455,56.58842421045167,0.08054661986463757,inf,inf,1.0,4.858923651685393,5.414062,49.99276,vortex_grid_c20nh1920Buinfefr1.00e+00
7,1920,20,1.1117729174899334e-12,0.0,0.0,1.1618684035859927,56.58842421045167,0.08458341929686754,inf,inf,10.0,9.086117135667397,4.122243,49.92669,vortex_grid_c20nh1920Buinfefr1.00e+01
8,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,0.9322764666716666,56.58842421045167,0.015719708676483545,0.005003738679653825,1.0,0.01,16.58377364470284,22.60212,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e-02
9,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,0.9147788625539993,56.58842421045167,0.01562074081274275,0.00497223623021064,1.0,0.1,17.3154063307393,22.90215,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e-01
10,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,1.1427901257715798,56.58842421045167,0.01682357979991818,0.005355111771315877,1.0,1.0,32.96456210866753,22.70213,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e+00
11,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,0.9913137662501084,56.58842421045167,0.016044762706712627,0.007222680826861217,2.0,0.01,13.898684059405939,19.2021,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e-02
12,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,0.9980017448079465,56.58842421045167,0.016080764295214867,0.007238887235629286,2.0,0.1,15.379872869888477,19.30211,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e-01
