short_name,mean,std
noise_c100nh2880Buinf,5.845837143437481,0.3657697712746965
noise_c100nh3840Buinf,5.8034991719415405,0.35122239438755715
noise_c100nh960Buinf,3.486377299607848,0.18158966674241225
noise_c10nh1920Buinf,12.98530805871036,0.4905747318840965
noise_c10nh2880Buinf,13.904116391087408,0.5193286280279009
noise_c10nh3840Buinf,14.423506078424797,0.5443538037654566
noise_c10nh7680Buinf,14.872969599679788,0.5455664493152284
noise_c10nh960Buinf,10.821224700177536,0.43534926203603724
noise_c200nh2880Buinf,2.5440819344514907,0.17735670336305012
noise_c200nh3840Buinf,3.290316423662122,0.230596436408231
noise_c200nh960Buinf,2.256600556522381,0.04725873003421295
noise_c20nh2880Buinf,11.80979045314045,0.4929365270175872
noise_c20nh3840Buinf,12.29329430280038,0.5078452912032412
noise_c20nh7680Buinf,13.109525095066997,0.5258530065631161
noise_c20nh960Buinf,9.198425042130108,0.4148987104503016
noise_c40nh2880Buinf,9.238734794099107,0.4500739713213956
noise_c40nh3840Buinf,9.668245803584682,0.4590195596819109
noise_c40nh7680Buinf,10.754952319861228,0.4797171487897284
noise_c40nh960Buinf,6.34556500367039,0.30511500701259714
